,words,freqs,year
0,Member,1.3468013468013467,2011
1,The,1.2719790497568275,2011
2,EU,1.1971567527123081,2011
3,growth,1.1597456041900485,2011
4,States,1.1597456041900485,2011
5,EN,0.8604564160119716,2011
6,crisis,0.823045267489712,2011
7,European,0.7856341189674524,2011
8,market,0.7482229704451926,2011
9,economic,0.710811821922933,2011
10,Commission,0.710811821922933,2011
11,Europe,0.6734006734006733,2011
12,In,0.6359895248784138,2011
13,e,0.5237560793116348,2011
14,labour,0.5237560793116348,2011
15,work,0.5237560793116348,2011
16,also,0.4863449307893753,2011
17,%,0.4863449307893753,2011
18,2020,0.4863449307893753,2011
19,energy,0.4863449307893753,2011
20,THE,0.44893378226711567,2011
21,Annual,0.44893378226711567,2011
22,measures,0.44893378226711567,2011
23,Growth,0.411522633744856,2011
24,Survey,0.411522633744856,2011
25,financial,0.411522633744856,2011
26,need,0.411522633744856,2011
27,unemployment,0.3741114852225963,2011
28,sector,0.3741114852225963,2011
29,th,0.3741114852225963,2011
30,2011,0.33670033670033667,2011
31,response,0.33670033670033667,2011
32,This,0.33670033670033667,2011
33,new,0.33670033670033667,2011
34,public,0.33670033670033667,2011
35,levels,0.33670033670033667,2011
36,debt,0.33670033670033667,2011
37,systems,0.33670033670033667,2011
38,low,0.33670033670033667,2011
39,consolidation,0.33670033670033667,2011
40,reforms,0.33670033670033667,2011
41,Council,0.33670033670033667,2011
42,strategy,0.33670033670033667,2011
43,comprehensive,0.29928918817807704,2011
44,first,0.29928918817807704,2011
45,high,0.2618780396558174,2011
46,markets,0.2618780396558174,2011
47,remain,0.2618780396558174,2011
48,fiscal,0.2618780396558174,2011
49,term,0.2618780396558174,2011
50,competitiveness,0.2618780396558174,2011
51,structural,0.2618780396558174,2011
52,employment,0.2618780396558174,2011
53,must,0.2618780396558174,2011
54,set,0.2618780396558174,2011
55,services,0.2618780396558174,2011
56,policy,0.22446689113355783,2011
57,increase,0.22446689113355783,2011
58,'s,0.22446689113355783,2011
59,trade,0.22446689113355783,2011
60,euro,0.22446689113355783,2011
61,area,0.22446689113355783,2011
62,3,0.22446689113355783,2011
63,potential,0.22446689113355783,2011
64,10,0.22446689113355783,2011
65,priority,0.22446689113355783,2011
66,including,0.22446689113355783,2011
67,policies,0.22446689113355783,2011
68,nd,0.22446689113355783,2011
69,framework,0.22446689113355783,2011
70,tax,0.22446689113355783,2011
71,Market,0.22446689113355783,2011
72,EUROPEAN,0.18705574261129815,2011
73,cycle,0.18705574261129815,2011
74,taken,0.18705574261129815,2011
75,social,0.18705574261129815,2011
76,protection,0.18705574261129815,2011
77,productivity,0.18705574261129815,2011
78,economy,0.18705574261129815,2011
79,global,0.18705574261129815,2011
80,major,0.18705574261129815,2011
81,large,0.18705574261129815,2011
82,GDP,0.18705574261129815,2011
83,help,0.18705574261129815,2011
84,essential,0.18705574261129815,2011
85,enhancing,0.18705574261129815,2011
86,stability,0.18705574261129815,2011
87,Stability,0.18705574261129815,2011
88,reinforced,0.18705574261129815,2011
89,needed,0.18705574261129815,2011
90,level,0.18705574261129815,2011
91,job,0.18705574261129815,2011
92,benefits,0.18705574261129815,2011
93,reduce,0.18705574261129815,2011
94,already,0.18705574261129815,2011
95,AND,0.14964459408903852,2011
96,COMMITTEE,0.14964459408903852,2011
97,governance,0.14964459408903852,2011
98,finances,0.14964459408903852,2011
99,world,0.14964459408903852,2011
100,recovery,0.14964459408903852,2011
101,still,0.14964459408903852,2011
102,sovereign,0.14964459408903852,2011
103,excessive,0.14964459408903852,2011
104,It,0.14964459408903852,2011
105,budgetary,0.14964459408903852,2011
106,change,0.14964459408903852,2011
107,long,0.14964459408903852,2011
108,urgent,0.14964459408903852,2011
109,people,0.14964459408903852,2011
110,Given,0.14964459408903852,2011
111,provide,0.14964459408903852,2011
112,To,0.14964459408903852,2011
113,ensure,0.14964459408903852,2011
114,frontload,0.14964459408903852,2011
115,targets,0.14964459408903852,2011
116,areas,0.14964459408903852,2011
117,together,0.14964459408903852,2011
118,actions,0.14964459408903852,2011
119,present,0.14964459408903852,2011
120,Communication,0.14964459408903852,2011
121,key,0.14964459408903852,2011
122,rigorous,0.14964459408903852,2011
123,State,0.14964459408903852,2011
124,rate,0.14964459408903852,2011
125,include,0.14964459408903852,2011
126,sustainable,0.14964459408903852,2011
127,take,0.14964459408903852,2011
128,taxes,0.14964459408903852,2011
129,account,0.14964459408903852,2011
130,demand,0.14964459408903852,2011
131,risk,0.14964459408903852,2011
132,create,0.14964459408903852,2011
133,participation,0.14964459408903852,2011
134,incentives,0.14964459408903852,2011
135,private,0.14964459408903852,2011
136,enhance,0.14964459408903852,2011
137,es,0.14964459408903852,2011
138,access,0.14964459408903852,2011
139,Single,0.14964459408903852,2011
140,propose,0.14964459408903852,2011
141,taxation,0.14964459408903852,2011
142,COMMISSION,0.11223344556677892,2011
143,2,0.11223344556677892,2011
144,context,0.11223344556677892,2011
145,semester,0.11223344556677892,2011
146,action,0.11223344556677892,2011
147,parts,0.11223344556677892,2011
148,impact,0.11223344556677892,2011
149,real,0.11223344556677892,2011
150,return,0.11223344556677892,2011
151,face,0.11223344556677892,2011
152,normal,0.11223344556677892,2011
153,conditions,0.11223344556677892,2011
154,back,0.11223344556677892,2011
155,2010,0.11223344556677892,2011
156,EU-wide,0.11223344556677892,2011
157,unemployed,0.11223344556677892,2011
158,deficits,0.11223344556677892,2011
159,increased,0.11223344556677892,2011
160,could,0.11223344556677892,2011
161,main,0.11223344556677892,2011
162,deficit,0.11223344556677892,2011
163,unsustainable,0.11223344556677892,2011
164,imbalances,0.11223344556677892,2011
165,ambitious,0.11223344556677892,2011
166,1,0.11223344556677892,2011
167,national,0.11223344556677892,2011
168,anchored,0.11223344556677892,2011
169,strengthen,0.11223344556677892,2011
170,objectives,0.11223344556677892,2011
171,integrated,0.11223344556677892,2011
172,Œ,0.11223344556677892,2011
173,macroeconomic,0.11223344556677892,2011
174,higher,0.11223344556677892,2011
175,proposed,0.11223344556677892,2011
176,investment,0.11223344556677892,2011
177,improving,0.11223344556677892,2011
178,reducing,0.11223344556677892,2011
179,give,0.11223344556677892,2011
180,review,0.11223344556677892,2011
181,financing,0.11223344556677892,2011
182,capacity,0.11223344556677892,2011
183,permanent,0.11223344556677892,2011
184,current,0.11223344556677892,2011
185,expenditure,0.11223344556677892,2011
186,budget,0.11223344556677892,2011
187,order,0.11223344556677892,2011
188,All,0.11223344556677892,2011
189,especially,0.11223344556677892,2011
190,Programmes,0.11223344556677892,2011
191,r,0.11223344556677892,2011
192,pr,0.11223344556677892,2011
193,5,0.11223344556677892,2011
194,greater,0.11223344556677892,2011
195,identify,0.11223344556677892,2011
196,pa,0.11223344556677892,2011
197,ed,0.11223344556677892,2011
198,improve,0.11223344556677892,2011
199,employ,0.11223344556677892,2011
200,short,0.11223344556677892,2011
201,jobs,0.11223344556677892,2011
202,skills,0.11223344556677892,2011
203,income,0.11223344556677892,2011
204,earners,0.11223344556677892,2011
205,second,0.11223344556677892,2011
206,benefit,0.11223344556677892,2011
207,pension,0.11223344556677892,2011
208,retirement,0.11223344556677892,2011
209,savings,0.11223344556677892,2011
210,Directive,0.11223344556677892,2011
211,7,0.11223344556677892,2011
212,legislation,0.11223344556677892,2011
213,contracts,0.11223344556677892,2011
214,products,0.11223344556677892,2011
215,goods,0.11223344556677892,2011
216,important,0.11223344556677892,2011
217,remove,0.11223344556677892,2011
218,implementation,0.11223344556677892,2011
219,enable,0.11223344556677892,2011
220,proposals,0.11223344556677892,2011
221,For,0.11223344556677892,2011
222,would,0.11223344556677892,2011
223,guidance,0.11223344556677892,2011
224,COM,0.07482229704451926,2011
225,COMMUNICATION,0.07482229704451926,2011
226,FROM,0.07482229704451926,2011
227,TO,0.07482229704451926,2011
228,PARLIAMENT,0.07482229704451926,2011
229,COUNCIL,0.07482229704451926,2011
230,ECONOMIC,0.07482229704451926,2011
231,SOCIAL,0.07482229704451926,2011
232,OF,0.07482229704451926,2011
233,REGIONS,0.07482229704451926,2011
234,advancing,0.07482229704451926,2011
235,EU's,0.07482229704451926,2011
236,less,0.07482229704451926,2011
237,weak,0.07482229704451926,2011
238,forecasts,0.07482229704451926,2011
239,signs,0.07482229704451926,2011
240,While,0.07482229704451926,2011
241,exports,0.07482229704451926,2011
242,due,0.07482229704451926,2011
243,economies,0.07482229704451926,2011
244,adjustments,0.07482229704451926,2011
245,ha,0.07482229704451926,2011
246,yet,0.07482229704451926,2011
247,vulnerability,0.07482229704451926,2011
248,stress,0.07482229704451926,2011
249,dependency,0.07482229704451926,2011
250,corporate,0.07482229704451926,2011
251,far,0.07482229704451926,2011
252,loss,0.07482229704451926,2011
253,activity,0.07482229704451926,2011
254,fall,0.07482229704451926,2011
255,2012,0.07482229704451926,2011
256,expected,0.07482229704451926,2011
257,aggregate,0.07482229704451926,2011
258,around,0.07482229704451926,2011
259,80,0.07482229704451926,2011
260,effect,0.07482229704451926,2011
261,demographic,0.07482229704451926,2011
262,burden,0.07482229704451926,2011
263,Structural,0.07482229704451926,2011
264,become,0.07482229704451926,2011
265,provided,0.07482229704451926,2011
266,welfare,0.07482229704451926,2011
267,working,0.07482229704451926,2011
268,population,0.07482229704451926,2011
269,poverty,0.07482229704451926,2011
270,line,0.07482229704451926,2011
271,different,0.07482229704451926,2011
272,across,0.07482229704451926,2011
273,US,0.07482229704451926,2011
274,gap,0.07482229704451926,2011
275,cost,0.07482229704451926,2011
276,pace,0.07482229704451926,2011
277,Therefore,0.07482229704451926,2011
278,needs,0.07482229704451926,2011
279,use,0.07482229704451926,2011
280,issue,0.07482229704451926,2011
281,ng,0.07482229704451926,2011
282,competitors,0.07482229704451926,2011
