,bigrams,rel_freq,year
0,en_en,0.14964459408903852,2011
1,en_european,0.03741114852225963,2011
2,european_commission,0.03741114852225963,2011
3,commission_brussels,0.03741114852225963,2011
4,brussels_12.1.2010,0.03741114852225963,2011
5,12.1.2010_com,0.03741114852225963,2011
6,com_2011,0.03741114852225963,2011
7,2011_11,0.03741114852225963,2011
8,11_final,0.03741114852225963,2011
9,final_communication,0.03741114852225963,2011
10,communication_from,0.07482229704451926,2011
11,from_the,0.07482229704451926,2011
12,the_commission,0.3741114852225963,2011
13,commission_to,0.07482229704451926,2011
14,to_the,0.07482229704451926,2011
15,the_european,0.14964459408903852,2011
16,european_parliament,0.14964459408903852,2011
17,parliament_the,0.07482229704451926,2011
18,the_council,0.07482229704451926,2011
19,council_the,0.07482229704451926,2011
20,european_economic,0.07482229704451926,2011
21,economic_and,0.07482229704451926,2011
22,and_social,0.07482229704451926,2011
23,social_committee,0.07482229704451926,2011
24,committee_and,0.07482229704451926,2011
25,and_the,0.07482229704451926,2011
26,the_committee,0.07482229704451926,2011
27,committee_of,0.07482229704451926,2011
28,of_the,0.07482229704451926,2011
29,the_regions,0.07482229704451926,2011
30,regions_annual,0.07482229704451926,2011
31,annual_growth,0.411522633744856,2011
32,growth_survey,0.411522633744856,2011
33,survey_advancing,0.07482229704451926,2011
34,advancing_eu's,0.07482229704451926,2011
35,eu's_comprehensive,0.07482229704451926,2011
36,comprehensive_response,0.2618780396558174,2011
37,response_crisis,0.14964459408903852,2011
38,crisis_en,0.03741114852225963,2011
39,en_2,0.07482229704451926,2011
40,2_en,0.03741114852225963,2011
41,en_communication,0.03741114852225963,2011
42,crisis_the,0.03741114852225963,2011
43,the_context,0.03741114852225963,2011
44,context_this,0.03741114852225963,2011
45,this_first,0.11223344556677892,2011
46,first_annual,0.14964459408903852,2011
47,survey_marks,0.03741114852225963,2011
48,marks_st,0.03741114852225963,2011
49,st_art,0.03741114852225963,2011
50,art_new,0.03741114852225963,2011
51,new_cycle,0.03741114852225963,2011
52,cycle_economic,0.03741114852225963,2011
53,economic_governance,0.14964459408903852,2011
54,governance_eu,0.07482229704451926,2011
55,eu_first,0.03741114852225963,2011
56,first_european,0.07482229704451926,2011
57,european_semester,0.14964459408903852,2011
58,semester_economic,0.03741114852225963,2011
59,economic_policy,0.03741114852225963,2011
60,policy_coordinati,0.03741114852225963,2011
61,coordinati_the,0.03741114852225963,2011
62,the_eu,0.14964459408903852,2011
63,eu_taken,0.03741114852225963,2011
64,taken_decisive,0.03741114852225963,2011
65,decisive_action,0.03741114852225963,2011
66,action_deal,0.03741114852225963,2011
67,deal_crisis,0.03741114852225963,2011
68,crisis_result,0.03741114852225963,2011
69,result_deterioration,0.03741114852225963,2011
70,deterioration_public,0.03741114852225963,2011
71,public_financ,0.18705574261129815,2011
72,financ_increase,0.03741114852225963,2011
73,increase_unemployment,0.07482229704451926,2011
74,unemployment_less,0.03741114852225963,2011
